Entity,Code,Day,average_deaths_2015_2019_all_ages,deaths_2020_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages,deaths_2021_all_ages
Albania,ALB,2020-01-31,2437.25,2187,,2065,3129,2158,2397,
Albania,ALB,2020-02-29,1934.25,2018,,1905,1845,2013,1974,
Albania,ALB,2020-03-31,1963.25,1993,,1910,1817,2136,1990,
Albania,ALB,2020-04-30,1708,1804,,1652,1665,1828,1687,
Albania,ALB,2020-05-31,1696,1803,,1716,1660,1664,1744,
Albania,ALB,2020-06-30,1644.25,1779,,1678,1605,1576,1718,
Albania,ALB,2020-07-31,1704,2166,,1643,1788,1641,1744,
Albania,ALB,2020-08-31,1713.5,2476,,1578,1833,1709,1734,
Albania,ALB,2020-09-30,1522.5,1982,,1459,1482,1621,1528,
Albania,ALB,2020-10-31,1690.75,2403,,1743,1679,1668,1673,
Albania,ALB,2020-11-30,1773.25,3854,,1855,1716,1730,1792,
Albania,ALB,2020-12-31,2053.25,3140,,2184,2013,2060,1956,
Armenia,ARM,2020-01-31,2727.6,2567,2582,2722,3027,2534,2773,3295
Armenia,ARM,2020-02-29,2380.2,2434,2363,2576,2442,2273,2247,
Armenia,ARM,2020-03-31,2449.6,2288,2763,2349,2568,2215,2353,
Armenia,ARM,2020-04-30,2220.4,2156,2442,2243,2246,1968,2203,
Armenia,ARM,2020-05-31,2254.4,2103,2197,2247,2323,2220,2285,
Armenia,ARM,2020-06-30,2078.2,2869,2288,2169,2103,1902,1929,
Armenia,ARM,2020-07-31,2151.6,2719,2176,2103,2063,2347,2069,
Armenia,ARM,2020-08-31,2083.2,2106,2149,2127,2174,1972,1994,
Armenia,ARM,2020-09-30,1811.6,2042,1949,1891,1712,1704,1802,
Armenia,ARM,2020-10-31,2115.2,3632,2101,2233,2142,2086,2014,
Armenia,ARM,2020-11-30,2316.8,6060,2349,2476,2263,2317,2179,
Armenia,ARM,2020-12-31,2458.6,4395,2485,2993,2304,2107,2404,
Australia,AUS,2020-01-05,2483.6,2518,2471,2384,2511,2455,2597,
Australia,AUS,2020-01-12,2496.4,2520,2327,2592,2541,2433,2589,
Australia,AUS,2020-01-19,2453.6,2509,2374,2450,2423,2428,2593,
Australia,AUS,2020-01-26,2441,2566,2278,2394,2504,2486,2543,
Australia,AUS,2020-02-02,2454.4,2536,2351,2428,2405,2547,2541,
Australia,AUS,2020-02-09,2464.2,2573,2460,2414,2530,2366,2551,
Australia,AUS,2020-02-16,2445,2596,2276,2378,2486,2453,2632,
Australia,AUS,2020-02-23,2504.6,2618,2481,2387,2537,2486,2632,
Australia,AUS,2020-03-01,2494.2,2617,2356,2383,2544,2523,2665,
Australia,AUS,2020-03-08,2510.8,2628,2509,2414,2601,2514,2516,
Australia,AUS,2020-03-15,2464.2,2578,2321,2410,2476,2538,2576,
Australia,AUS,2020-03-22,2510.2,2693,2491,2424,2560,2501,2575,
Australia,AUS,2020-03-29,2525.6,2832,2428,2547,2447,2570,2636,
Australia,AUS,2020-04-05,2519.2,2804,2386,2549,2647,2424,2590,
Australia,AUS,2020-04-12,2578,2742,2543,2552,2580,2499,2716,
Australia,AUS,2020-04-19,2594.4,2671,2532,2532,2651,2625,2632,
Australia,AUS,2020-04-26,2567.4,2715,2652,2497,2582,2477,2629,
Australia,AUS,2020-05-03,2595.4,2678,2584,2469,2600,2648,2676,
Australia,AUS,2020-05-10,2720.2,2792,2717,2572,2754,2757,2801,
Australia,AUS,2020-05-17,2754,2733,2786,2639,2720,2765,2860,
Australia,AUS,2020-05-24,2785.2,2766,2658,2749,2774,2878,2867,
Australia,AUS,2020-05-31,2796.4,2750,2596,2791,2817,2844,2934,
Australia,AUS,2020-06-07,2906,2754,2840,2834,2894,2917,3045,
Australia,AUS,2020-06-14,2811,2708,2698,2734,2830,2768,3025,
Australia,AUS,2020-06-21,2843.2,2630,2759,2774,2833,2898,2952,
Australia,AUS,2020-06-28,2896.2,2711,2783,2854,2862,2912,3070,
